Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
1996,21.2483871,28.61666667,27.96129032,27.96129032,27.96129032,30.29259259,28.57586207,23.22580645,27.28387097,23.22580645,28.57586207,27.17419355,28.61666667,25.04516129,27.848674157603607,28.2915744662,27.8485069864,27.497926236725245,26.679772051400004,27.6768566717
1997,21.78064516,27.54,27.6483871,27.6483871,27.6483871,29.84482759,28.05,22.95666667,27.23448276,22.95666667,28.05,28.28666667,27.54,26.21935484,27.643387912415783,28.192759548900003,27.479685934739997,27.22264467042171,26.512847943300002,27.5670571767
1998,23.04516129,25.79,26.69032258,26.69032258,26.69032258,27.01923077,25.53793103,23.02580645,25.21290323,23.02580645,25.53793103,26.76774194,25.79,24.42333333,25.89398269806057,26.0034052349,26.170860544440004,25.942856105344102,24.8203530016,26.057007454799997
1999,19.49666667,24.41,24.86666667,24.86666667,24.86666667,26.99259259,26.35862069,21.34666667,23.92333333,21.34666667,26.35862069,25.53666667,24.41,24.26333333,25.39858470856798,26.101653257800002,24.884457831180004,24.73930368056892,24.692042018400002,25.1434323136
2000,20.68709677,28.16785714,27.61935484,27.61935484,27.61935484,29.64166667,27.99655172,23.4125,26.85666667,23.4125,27.99655172,28.76190476,28.16785714,25.96,27.67720374505011,28.2639650642,27.59711425082,27.29852563856352,26.548093031100002,27.626229566200003
2001,20.90322581,28.86666667,26.692,26.692,26.692,27.87,28.02068966,25.81904762,26.8375,25.81904762,28.02068966,28.97857143,28.86666667,24.95483871,27.523182340595334,28.1713973433,27.31018623718,27.104195847120565,26.925900075199998,27.380770109899995
2002,22.29677419,26.83478261,25.35714286,25.35714286,25.35714286,27.88571429,28.72857143,23.31034483,24.71481481,23.31034483,28.72857143,27.59,26.83478261,25.57741935,27.127363144104915,28.191071429900003,26.14384762694,26.055323331456695,26.7149065214,26.6388852662
2003,21.02580645,26.06785714,26.1,26.1,26.1,25.5875,27.58461538,23.44482759,24.75862069,23.44482759,27.58461538,27.05714286,26.06785714,25.22333333,26.658205629715695,27.2438434044,26.236467159020002,26.063175394826445,26.0606915189,26.4148191912
2004,21.51612903,26.16551724,25.76451613,25.76451613,25.76451613,26.09655172,26.04642857,22.5483871,24.76451613,22.5483871,26.04642857,27.33870968,26.16551724,25.23870968,25.899179026568493,26.355591490099997,25.786100874420004,25.56808730093607,25.0618703325,25.8896162407
2005,21.76129032,25.78928571,26.18666667,26.18666667,26.18666667,26.7962963,24.83928571,23.03666667,25.25666667,23.03666667,24.83928571,26.60666667,25.78928571,25.43103448,25.411013895040856,25.479394443,25.76187581458,25.54382736167444,24.589422333999998,25.6288771846
2006,20.40967742,24.80769231,24.80666667,24.80666667,24.80666667,25.94285714,25.0,22.556,24.28,22.556,25.0,26.30769231,24.80769231,25.268,24.94968157526324,25.3718945061,24.804128456119997,24.680042443004066,24.440516114999998,24.959466077599995
2007,22.81935484,23.5,26.60344828,26.60344828,26.60344828,23.3,26.7,23.81935484,25.97857143,23.81935484,26.7,27.76774194,23.5,25.24193548,26.427605626196005,26.757142381799994,26.060316211179998,26.027802201231204,25.6679214205,26.4114323876
2008,23.27741935,0.0,26.155,26.155,26.155,0.0,0.0,24.63846154,24.09047619,24.63846154,0.0,26.76923077,0.0,26.34074074,12.931687755197904,8.2616076925,17.94312111884,18.467877499513456,11.407385935699999,17.210930418100002
2009,20.46129032,23.55806452,24.04193548,24.04193548,24.04193548,24.8862069,23.90967742,21.78064516,23.41935484,21.78064516,23.90967742,25.44193548,23.55806452,23.83548387,24.00342866929371,24.3592691874,23.907475637780003,23.801433065200207,23.3907652946,24.0617886522
2010,22.46451613,26.57419355,27.08387097,27.08387097,27.08387097,27.77096774,24.46333333,24.48387097,26.07419355,24.48387097,24.46333333,28.04516129,26.57419355,26.41612903,25.819302918116843,25.714480643,26.49939139894,26.28379421457063,24.9663526867,26.276959139800002
2011,23.59354839,25.42258065,25.87096774,25.87096774,25.87096774,25.99677419,25.06129032,22.71935484,25.73870968,22.71935484,25.06129032,27.29032258,25.42258065,24.66451613,25.501078900899646,25.7232580624,25.588458063759997,25.425018481756226,24.514419354,25.671741934199996
2012,22.07096774,25.33225806,25.79677419,25.79677419,25.79677419,26.76129032,25.76451613,23.48387097,23.96129032,23.48387097,25.76451613,26.55483871,25.33225806,24.6,25.679057396027236,26.02383871,25.6355612879,25.491612950506912,25.0088709685,25.68964516
2013,22.10322581,24.98387097,25.11290323,25.11290323,25.11290323,26.58709677,24.32903226,22.99032258,23.57096774,22.99032258,24.32903226,26.46451613,24.98387097,24.28064516,24.78630829423405,25.045419356300002,24.931032261120002,24.78628115682719,24.064096775,24.9549354862
2014,20.85483871,0.0,26.32580645,26.32580645,26.32580645,28.04193548,26.75483871,22.7516129,25.63225806,22.7516129,26.75483871,28.49032258,0.0,25.26129032,25.63913982239319,27.2401935481,22.37856774084,23.871769626641935,25.007161289200003,25.5076451603
